filename,time-stamp,size
bfsvc.exe,06/02/21 08:56,77824 
bootstat.dat,29/03/21 10:04,67584 
comsetup.log,05/02/21 17:54,25848 
CoreSingleLanguage.xml,29/09/17 21:42,35138 
csup.txt,02/11/18 15:02,12 
DDACLSys.log,10/11/18 16:22,1310 
diagerr.xml,05/02/21 17:58,19053 
diagwrn.xml,05/02/21 17:58,19053 
DPINST.LOG,27/07/20 14:07,232542 
DtcInstall.log,07/12/19 17:17,776 
en-GB.log,03/11/18 07:24,11443031 
en-us.log,03/11/18 07:23,268687 
explorer.exe,21/03/21 13:17,4704744 
HelpPane.exe,06/02/21 08:58,1076224 
hh.exe,07/12/19 17:09,18432 
machineinfo.sav,03/11/18 07:31,8744 
MFGSTAT.zip,03/11/18 07:31,32729 
mib.bin,07/12/19 17:08,43131 
Modules.log,10/11/18 12:57,85950 
notepad.exe,06/02/21 08:59,202240 
PFRO.log,21/03/21 21:23,278608 
PLDDATA.XML,03/11/18 08:42,14635 
Professional.xml,07/12/19 17:10,30831 
py.exe,19/12/17 06:05,897688 
pyshellext.amd64.dll,05/12/17 20:42,55456 
pyw.exe,19/12/17 06:05,897688 
regedit.exe,06/02/21 08:58,370176 
setupact.log,26/03/21 13:43,103608 
setuperr.log,05/02/21 17:21,0 
SMB.TAG,03/11/18 07:15,5 
splwow64.exe,06/02/21 08:56,136192 
system.ini,29/09/17 21:44,219 
twain_32.dll,07/12/19 17:10,65024 
win.ini,03/11/18 07:16,124 
WindowsShell.Manifest,07/12/19 17:09,670 
WindowsUpdate.log,29/03/21 12:54,276 
winhlp32.exe,07/12/19 17:10,11776 
WMSysPr9.prx,07/12/19 17:53,316640 
write.exe,07/12/19 05:29,11264 
03_IP.pptx,04/05/20 09:11,1234584
04_TP.pptx,16/04/20 08:36,173503
Lab2.fls,08/04/20 16:11,7344
Network Lab2.pdf,13/04/20 10:16,342204
Network Lab2.pptx,13/04/20 10:17,350946
Network_Final.PNG,08/04/20 14:52,76595
network_worksheet2.docx,16/04/20 07:27,135431
02_PHY_DL.pptx,06/04/20 09:48,1195917
2019_Network3_slides.pdf,16/04/19 22:47,597474
Network Lab1.pptx,06/04/20 07:24,148438
Socket Programming.pdf,06/04/20 09:51,2013612